2019-四月-10 14:01:17.367 INFO  [http-nio-9999-exec-2] c.w.d.u.WebControllerAop - 请求类方法参数名[pageNum, pageSize]
2019-四月-10 14:01:17.368 INFO  [http-nio-9999-exec-2] c.w.d.u.WebControllerAop - 请求类方法参数:[1, 10]
2019-四月-10 14:01:17.368 INFO  [http-nio-9999-exec-2] c.w.d.u.WebControllerAop - 请求IP:0:0:0:0:0:0:0:1
2019-四月-10 14:01:17.368 INFO  [http-nio-9999-exec-2] c.w.d.u.WebControllerAop - ===============请求内容===============
2019-四月-10 14:01:17.392 INFO  [http-nio-9999-exec-2] c.w.d.u.WebControllerAop - --------------返回内容----------------
2019-四月-10 14:01:17.393 INFO  [http-nio-9999-exec-2] c.w.d.u.WebControllerAop - Response内容:[{"tid":1,"tname":"王老师","username":"admin","password":"admin","studentList":[{"sid":1,"sname":"王锋","ssex":"男","tid":1,"sagenum":20},{"sid":2,"sname":"王寄","ssex":"男","tid":1,"sagenum":20},{"sid":5,"sname":"寄锋","ssex":"男","tid":1,"sagenum":20}]},{"tid":2,"tname":"牛老师","username":"admin","password":"admin","studentList":[{"sid":6,"sname":"锋","ssex":"女","tid":2,"sagenum":10},{"sid":7,"sname":"王","ssex":"女","tid":2,"sagenum":10},{"sid":8,"sname":"王1","ssex":"女","tid":2,"sagenum":10},{"sid":9,"sname":"王s","ssex":"女","tid":2,"sagenum":10}]},{"tid":3,"tname":"王寄锋","username":"wangjideng","password":"ddddddd","studentList":[]}]
2019-四月-10 14:01:17.393 INFO  [http-nio-9999-exec-2] c.w.d.u.WebControllerAop - --------------返回内容----------------
2019-四月-10 14:01:17.393 INFO  [http-nio-9999-exec-2] c.w.d.u.WebControllerAop - 请求处理时间为:28
2019-四月-10 14:01:56.322 INFO  [http-nio-9999-exec-3] c.w.d.u.WebControllerAop - ===============请求内容===============
2019-四月-10 14:01:56.322 INFO  [http-nio-9999-exec-3] c.w.d.u.WebControllerAop - 请求URL:http://localhost:9999/test/selectstudent
2019-四月-10 14:01:56.323 INFO  [http-nio-9999-exec-3] c.w.d.u.WebControllerAop - 请求方式:GET
2019-四月-10 14:01:56.323 INFO  [http-nio-9999-exec-3] c.w.d.u.WebControllerAop - 请求类方法:Page com.wjf.dynamic.controller.TestController.selectstudent(Integer,Integer)
2019-四月-10 14:01:56.323 INFO  [http-nio-9999-exec-3] c.w.d.u.WebControllerAop - 请求类方法参数名[pageNum, pageSize]
2019-四月-10 14:01:56.323 INFO  [http-nio-9999-exec-3] c.w.d.u.WebControllerAop - 请求类方法参数:[1, 10]
2019-四月-10 14:01:56.323 INFO  [http-nio-9999-exec-3] c.w.d.u.WebControllerAop - 请求IP:0:0:0:0:0:0:0:1
2019-四月-10 14:01:56.324 INFO  [http-nio-9999-exec-3] c.w.d.u.WebControllerAop - ===============请求内容===============
2019-四月-10 14:01:56.385 INFO  [http-nio-9999-exec-3] c.w.d.u.WebControllerAop - --------------返回内容----------------
